participants_all,modalities_all,k,b
sub-01,pain,0.446213703619536,-0.90916598914335
sub-01,vision,2.10333193627121,-1.72811228927942
sub-02,pain,0.35267819867103,-999.843404663727
sub-02,vision,0.546704874118389,0.565092120525793
sub-03,pain,2.38304393328993,0.3964641266945
sub-03,vision,2.70144199482184,3.96027098103872
sub-04,pain,3.21996650157525,0.128937099755609
sub-04,vision,0.00100391708371094,-0.9340081728999
sub-05,pain,0.442375543562516,-0.958855231067037
sub-05,vision,0.360899020946545,-0.638806302662841
sub-06,pain,0.00100126521458755,0.259185392616249
sub-06,vision,2.03972546229421,1.68287858789482
sub-08,pain,0.00100034148485864,-0.51113744730608
sub-08,vision,0.0010002222821269,0.0688945942604415
sub-09,pain,2.67261443601939,-25.1100980096606
sub-09,vision,0.00101488230620567,-1.12242906336704
sub-10,pain,2.16693105392025,-0.35378494771286
sub-10,vision,2.84568512384523,-1.07417108662669
sub-11,pain,4.16642513214502,-2.46279014421893
sub-11,vision,0.277941949460572,0.546660293615744
sub-12,pain,5.97102748715103,-999.998118449819
sub-12,vision,5.04308694057022,2.73442374636023
sub-13,pain,1.37533912627337,-0.151653828208653
sub-13,vision,2.9751226171058,-1.20389143587877
sub-14,pain,0.467512752254802,-10.7202211589126
sub-14,vision,0.128378872718398,1.67490911262527
sub-15,pain,1.65640905580528,0.691785234558024
sub-15,vision,0.00100003718545371,1.31325343217743
sub-16,pain,0.0748824772906768,-2.68848399236017
sub-16,vision,0.123306311271826,0.924056887288564
sub-17,pain,0.00101886049253673,-2.01361338521845
sub-17,vision,0.101510103743523,-0.638742164278163
sub-18,pain,4.0963947489438,-4.28951473795254
sub-18,vision,0.285262411242102,0.524527231699463
sub-20,pain,0.454972545251123,0.607046161580836
sub-20,vision,0.00101177667192986,0.933652449574715
sub-21,pain,4.44949987529405,2.2692226987503
sub-21,vision,3.09607668166163,2.0619403443531
sub-22,pain,4.00059993233092,-57.1848417746712
sub-22,vision,0.435184682658071,0.624968561191727
sub-23,pain,0.46704218187029,-5.95064247046458
sub-23,vision,0.320703131225812,-0.888147473397008
sub-25,pain,3.49744061983367,-17.9770878892202
sub-25,vision,5.54827492742041,3.31032610257163
sub-26,pain,0.00101404024496713,0.184044224364134
sub-26,vision,2.6944758123886,0.242996664034253
sub-27,pain,1.70454663953751,-11.2722402082578
sub-27,vision,1.46555736612042,-1.63520144202788
sub-28,pain,0.331546246522777,-0.507473414423844
sub-28,vision,1.30073199427035,0.397121622377988
sub-29,pain,4.0555133700624,-19.3189497214904
sub-29,vision,2.85627753157935,-0.255514853567135
sub-31,pain,2.41728063680477,0.454319113586881
sub-31,vision,4.3308937329463,0.269952700858726
sub-32,pain,0.00100004855046151,0.0894560429081653
sub-32,vision,0.0959588415228732,0.470510336470312
sub-33,pain,0.00100065335873586,8.3144934276726
sub-33,vision,0.00100203799786391,15.8338634242339
sub-34,pain,0.181018230370589,-1.02709675707583
sub-34,vision,0.256437534714186,-0.87177685807505
sub-35,pain,0.00136740564251977,-87.7312392512044
sub-35,vision,3.0919979458236,25.4493195607689
sub-36,pain,0.299896252404281,0.932208460223756
sub-36,vision,0.315312524630704,0.672796100524359
sub-37,pain,1.87205998237216,-121.230793532228
sub-37,vision,4.93500439564031,-1.22553649775327
sub-38,pain,2.99614875971725,0.480195258519909
sub-38,vision,3.9202132235914,-0.110997488227533
sub-39,pain,4.90918806138439,-0.929214237023472
sub-39,vision,5.16449775732682,-3.15083518902573
sub-40,pain,0.459263473827861,0.303072209570304
sub-40,vision,0.454645106209111,-0.0286757221857271
sub-41,pain,1.91757446879045,-10.4634629993843
sub-41,vision,2.59790998249876,5.01303593638717
sub-42,pain,2.01558012968563,-999.99980557146
sub-42,vision,1.82474031511189,-0.312687934756652
sub-43,pain,0.00100000898768159,-146.843727040128
sub-43,vision,3.21146074044559,-1.80961025469949
sub-44,pain,2.8086350432274,-3.98263259094307
sub-44,vision,2.00713989878655,-0.480049269088711
sub-45,pain,4.20028847460754,-1.63788191664958
sub-45,vision,3.93611412388977,-0.619611130211958
sub-46,pain,0.102377140481283,-0.0440571354896371
sub-46,vision,0.0528150989313353,0.159638271582663
sub-47,pain,3.4378206253976,-7.1444937320999
sub-47,vision,3.01141674812635,-0.349365432247409
sub-48,pain,1.79505826273172,-5.35973381552821
sub-48,vision,2.98174822254808,2.27011669492164
sub-50,pain,0.135932243073848,-5.2288171148597
sub-50,vision,0.0633658044827166,-3.77801391938338
