participants_all,modalities_all,k,b,corr_empirical_predicted,rmse
sub-01,pain,0.446213703619536,-0.90916598914335,0.961673609690899,5.40805358444833
sub-01,vision,2.10333193627121,-1.72811228927942,0.96871561452893,5.56931295723742
sub-02,pain,0.35267819867103,-999.843404663727,0.894313236142411,8.13039805741186
sub-02,vision,0.546704874118389,0.565092120525793,0.932194236256106,9.48551291265273
sub-03,pain,2.38304393328993,0.3964641266945,0.920207947915556,5.55633371272915
sub-03,vision,2.70144199482184,3.96027098103872,0.810573549509575,8.28471061430805
sub-04,pain,3.21996650157525,0.128937099755609,0.969821950455392,5.30115135009999
sub-04,vision,0.00100391708371094,-0.9340081728999,0.588033930862456,15.0183578104259
sub-05,pain,0.442375543562516,-0.958855231067037,0.969704329723292,4.59792422018701
sub-05,vision,0.360899020946545,-0.638806302662841,0.974236860947581,4.82427824229859
sub-06,pain,0.00100126521458755,0.259185392616249,0.938684756871951,4.96999207118707
sub-06,vision,2.03972546229421,1.68287858789482,0.943858336811078,4.84366505797472
sub-08,pain,0.00100034148485864,-0.51113744730608,0.939710765835872,4.913301743281
sub-08,vision,0.0010002222821269,0.0688945942604415,0.946084056805989,4.63436980709432
sub-09,pain,2.67261443601939,-25.1100980096606,0.955061699275611,6.11641054973551
sub-09,vision,0.00101488230620567,-1.12242906336704,0.935610817383451,9.84961243047458
sub-10,pain,2.16693105392025,-0.35378494771286,0.972869409435603,4.21881710933923
sub-10,vision,2.84568512384523,-1.07417108662669,0.977982262335833,3.35008343093115
sub-11,pain,4.16642513214502,-2.46279014421893,0.96369270428859,4.89122294652374
sub-11,vision,0.277941949460572,0.546660293615744,0.971632167632644,4.55035451372697
sub-12,pain,5.97102748715103,-999.998118449819,0.961289797616088,8.85785688438507
sub-12,vision,5.04308694057022,2.73442374636023,0.94988452855647,5.80873756597286
sub-13,pain,1.37533912627337,-0.151653828208653,0.968528450628813,5.76061587340451
sub-13,vision,2.9751226171058,-1.20389143587877,0.973756003734612,5.85312828714748
sub-14,pain,0.467512752254802,-10.7202211589126,0.944387838272149,5.3714960616295
sub-14,vision,0.128378872718398,1.67490911262527,0.960382975466692,5.52458253264165
sub-15,pain,1.65640905580528,0.691785234558024,0.965878272051567,4.4560061385851
sub-15,vision,0.00100003718545371,1.31325343217743,0.949499475748613,6.07797512141151
sub-16,pain,0.0748824772906768,-2.68848399236017,0.957735050084587,4.87167302235247
sub-16,vision,0.123306311271826,0.924056887288564,0.978407654631013,3.75936612777214
sub-17,pain,0.00101886049253673,-2.01361338521845,0.959676536464946,5.86889050269494
sub-17,vision,0.101510103743523,-0.638742164278163,0.964007638657682,5.33898432260697
sub-18,pain,4.0963947489438,-4.28951473795254,0.898996807818259,7.22844434187381
sub-18,vision,0.285262411242102,0.524527231699463,0.909374964427423,7.1320887922902
sub-20,pain,0.454972545251123,0.607046161580836,0.974734030453074,4.62194770619124
sub-20,vision,0.00101177667192986,0.933652449574715,0.831136071649238,10.1509671430729
sub-21,pain,4.44949987529405,2.2692226987503,0.946325834001265,5.70640966663126
sub-21,vision,3.09607668166163,2.0619403443531,0.936429091240849,6.4788101031492
sub-22,pain,4.00059993233092,-57.1848417746712,0.942570157556081,6.90184636793995
sub-22,vision,0.435184682658071,0.624968561191727,0.981529104657741,3.31992614460961
sub-23,pain,0.46704218187029,-5.95064247046458,0.975580254802387,4.07773655253527
sub-23,vision,0.320703131225812,-0.888147473397008,0.979910360636584,3.74511344570652
sub-25,pain,3.49744061983367,-17.9770878892202,0.91424448905191,6.26254901398382
sub-25,vision,5.54827492742041,3.31032610257163,0.906596604688608,7.33112499954004
sub-26,pain,0.00101404024496713,0.184044224364134,0.963883776899198,5.78735472334283
sub-26,vision,2.6944758123886,0.242996664034253,0.925157151292035,6.65724745407233
