participant,date,block,trial_num,modality,cue_mean,cue_std,cue_sk,vas_val1,vas_val2,vas_val3,vas_val4,vas_val5,vas_val6,vas_val7,vas_val8,vas_val9,vas_val10,stim_level,stim_value,rating,RT,vas_initial_value,fmri_acq_start,block_onset,trial_onset,cue_onset,cue_duration,cue_offset,cue_stim_delay,stim_onset,stim_duration,stim_offset,stim_rating_delay,rating_onset,rating_duration,rating_offset,iti_duration,total_trial_duration,vas_mean,weighted_expectation,stim_level_scale_calibration,pred_model1,pred_model2,pred_model3,pred_model4,pred_model5,vif_stim,vif_cue
sub-01,06-Jul-2016 16:21:00,1,1,pain,0.3,0.05,-1,33.2761960458368,35.814853024049,32.1446547744481,28.8978107961604,27.2185467640444,30.0773261416326,31.3015362500244,23.7674773726747,18.5694311888181,36.4413867549352,2,48,77.3333333333333,3.40249560010852,90,31452.4523049718,31458.6122716822,31461.138997748,31461.1519389024,1.5,31462.6363606838,5,31467.6319369575,2,31469.6415624942,4.5,31474.144824122,4.5,31477.5473197221,5.5,23,29.7509219112624,29.2366750714869,73.7583333333334,75.2275993333333,71.3395113083719,68.3669378605356,69.5407413115265,69.4035321518278,1.33272869922578,1.22639631090121
sub-01,06-Jul-2016 16:21:00,1,2,pain,0.3,0.05,-1,18.2569686608177,36.0192289052711,25.4445249275906,22.1633322856578,26.4340647490153,34.5053485490915,29.5026985732137,33.0387433393309,30.430184243404,33.7409230320891,1,47,56.3333333333333,3.53582005952921,10,31452.4523049718,31458.6122716822,31484.1762582108,31484.1854434006,1.5,31485.6698368809,4,31489.6683717114,2,31491.6744213534,3,31494.6765750385,4.5,31498.212395098,3.5,18.5,28.9536017265482,28.3752953945906,51.1069010416667,52.1249505104167,50.5881910853119,49.0394114377968,49.8771654455022,49.8089428323395,1.49309469890157,1.41479037650063
sub-01,06-Jul-2016 16:21:00,1,3,pain,0.7,0.05,-1,66.4674303515024,74.452962530628,67.7267575262403,76.7474014617336,70.0407441886694,59.7372370614225,68.4315388037676,71.4937063431301,75.8465968003914,61.2824998393638,2,48,69.3333333333333,4.52000874536316,10,31452.4523049718,31458.6122716822,31502.6936442809,31502.6991161132,1.5,31504.2003067823,2.5,31506.6857171958,2,31508.6866844519,6,31514.6913510288,4.5,31519.2113597741,4.5,21,69.2226874906849,68.5789673052028,73.7583333333334,75.2275993333333,76.9485419121328,76.3395555715797,77.7443960881009,77.725592537524,2.7851847686182,2.7517097817355
sub-01,06-Jul-2016 16:21:00,1,4,pain,0.7,0.125,-1,77.3428132337529,60.8911597426558,85.9255642949532,55.6194281580076,61.8627510678391,68.3791354676479,79.5595299992203,43.7810473748214,75.0561574913776,70.7256718938055,1,47,37.3333333333333,2.36839273513033,90,31452.4523049718,31458.6122716822,31523.7110345495,31523.714210569,1.5,31525.2157172156,5.5,31530.7031164834,2,31532.7043891429,6,31538.7090165336,4.5,31541.0774092688,4.5,24,67.9143258724081,66.7339350573736,51.1069010416667,52.1249505104167,56.0569823420349,56.752635608098,57.8757089879857,57.9168617284593,1.22272991634058,1.17964808135734
sub-01,06-Jul-2016 16:21:00,1,5,pain,0.3,0.125,-1,22.0011753323458,29.6036624859854,32.6875791356714,47.5121217634584,6.57873691412295,31.2551087324292,41.0517338958174,39.8155660795634,25.5502745460189,43.1478633864308,1,47,62.6666666666667,2.25155321903731,10,31452.4523049718,31458.6122716822,31547.7289961277,31547.7489945272,1.5,31549.2334486528,5.5,31554.7210821047,2,31556.7220645999,6,31562.7266761295,4.5,31564.9782293485,3,22.5,31.9203822271844,30.7620032479432,51.1069010416667,52.1249505104167,50.9284640239644,49.5710277881581,50.3748417670833,50.3188831936636,1.16278151500519,1.14735694853057
sub-01,06-Jul-2016 16:21:00,1,6,pain,0.7,0.05,0,72.9844576346778,77.9755882047407,61.7343622868598,68.8315121500099,64.5404823976168,75.5756392741551,66.9235391933824,76.8835007617694,67.7969979669811,70.1667958538789,2,48,79.3333333333333,2.41841794180073,90,31452.4523049718,31458.6122716822,31570.2871062838,31570.298938096,1.5,31571.7833356193,4.5,31576.2791493426,2,31578.2881553644,4.5,31582.7913379978,4.5,31585.2097559396,3,20,70.3412875724072,69.7027581225143,73.7583333333334,75.2275993333333,77.1087607689569,76.5871603685449,77.9787289493267,77.9657619882056,1.31183872884268,1.38958316947013
sub-01,06-Jul-2016 16:21:00,1,7,pain,0.7,0.05,0,66.0763286835495,67.070799631039,68.2921747350423,62.3504616328882,76.060685979847,70.7761711878632,77.2074431457439,59.3606356956156,69.9907572314766,69.3425651018182,1,47,85,2.20159736569622,10,31452.4523049718,31458.6122716822,31590.3048203049,31590.3137004022,1.5,31591.7978528564,3.5,31595.296927119,2,31597.3021666021,5.5,31602.8062026235,4.5,31605.0077999892,3,20,68.6528023024884,68.0888478927065,51.1069010416667,52.1249505104167,56.2501522649683,56.9958968932841,58.1582354124093,58.200586202049,1.78427076011085,1.57968568378424
sub-01,06-Jul-2016 16:21:00,1,8,pain,0.3,0.05,0,36.3618313449405,23.9444625392857,35.2044743751052,31.0034336002907,28.9801379055421,31.6975216829617,22.5211437233226,27.1876778712428,28.1941406220178,37.4827636260922,1,47,68.6666666666667,2.76858630243805,10,31452.4523049718,31458.6122716822,31610.3230496554,31610.328154506,1.5,31611.8294972548,5.5,31617.3151194603,2,31619.3182758557,5.5,31624.8223706564,4.5,31627.5909569588,5.5,24.5,30.2577587290801,29.6744644102179,51.1069010416667,52.1249505104167,50.7734136118699,49.4105375545479,50.1480681686408,50.095147496797,1.2463355882797,1.18538703386024
sub-01,06-Jul-2016 16:21:00,1,9,pain,0.3,0.125,-1,36.4574723903409,40.4513854994138,13.1340051314714,29.8703945489205,43.3630431085607,3.90843995253938,26.7815112809796,26.0187312130065,38.4976132285455,21.8995271481331,2,48,84,2.13486858167016,90,31452.4523049718,31458.6122716822,31634.8741140735,31634.8796938233,1.5,31636.3809043965,5.5,31641.8661577542,2,31643.8697371116,5,31648.8734268329,4.5,31651.0082954146,6.5,25,28.0382123501911,26.7351125693312,73.7583333333334,75.2275993333333,70.9828635424396,68.2435846275248,69.019115498577,68.914258672185,1.15114042000854,1.19216320262669
sub-01,06-Jul-2016 16:21:00,1,10,pain,0.7,0.05,-1,71.6942413679255,67.381650770735,66.7245457578789,72.3097182563653,64.1246923646364,76.5671500755696,58.8601475344419,73.2292969542538,73.997914222842,68.5333794404514,1,47,69.6666666666667,2.48516165389083,90,31452.4523049718,31458.6122716822,31659.8919500071,31659.8981654439,1.5,31661.3993147498,4,31665.3839985084,2,31667.3870202402,4,31671.389967601,4.5,31673.8751292549,4,20,69.34227367451,68.8288222113012,51.1069010416667,52.1249505104167,56.3556504035704,57.0932606597314,58.3125348573227,58.3522779287669,1.49095862572246,1.44984306979777
sub-01,06-Jul-2016 16:21:00,1,11,pain,0.3,0.05,0,25.8620276012035,30.9004454825702,29.7486546617156,38.191323954694,23.5619982857287,35.9182866439061,27.0902629084219,39.2760018512061,33.4668016038133,32.032134147735,2,48,66,2.00139421954009,90,31452.4523049718,31458.6122716822,31679.9093573808,31679.9125505054,1.5,31681.414057774,5,31686.4014117911,2,31688.4022776607,6,31694.4069293096,4.5,31696.4083235291,3,22,31.6047937140994,31.0149733425622,73.7583333333334,75.2275993333333,71.5930432928791,69.1371531126982,69.9115520670111,69.822425341105,1.18627145575445,1.28961822501267
sub-01,06-Jul-2016 16:21:00,1,12,pain,0.7,0.125,-1,82.0592348671998,58.7634851011989,77.7827797509796,61.4713027099066,79.1426654122817,53.1841102517725,80.7861396979321,42.6497370710812,75.8817570045076,66.4601448003373,2,48,76.3333333333333,2.01810837094672,90,31452.4523049718,31458.6122716822,31701.9495039371,31701.9625383919,1.5,31703.4469303172,2.5,31705.941569077,2,31707.9502208681,4,31711.9531996401,4.5,31713.9713080111,4.5,19,67.8181356667197,66.3234947102935,73.7583333333334,75.2275993333333,76.6269791842766,75.981390418445,77.2740849426104,77.2599361701678,2.8061580631651,2.88732538242817
sub-01,06-Jul-2016 16:21:00,1,13,vision,0.3,0.05,0,25.2961429328025,28.6673402686256,30.6083406888531,22.2702826880003,37.4396388965489,39.2197626622218,31.2930046224094,32.2885052941465,27.2417236886029,36.438911032115,2,0.6,79.6666666666667,1.93466730152431,90,31452.4523049718,31458.6122716822,31723.478155102,31723.4950102097,1.5,31724.979387207,2.5,31727.4812661223,2,31729.4827175661,5,31734.4864047994,4.5,31736.4210721009,3.5,19,31.0763652774326,30.0052430914213,35.8670572916667,73.9474706888021,70.4209181329707,68.313238801748,72.1852666706808,64.1737561250887,2.70179000897259,2.76085956955177
