model,name,n_trials_per_sub,sse,mse,n,k,AIC,num_subs_best,perc_sample_best
1,baseline,144,40232.5537876911,279.392734636744,45,2,309.809616377929,8,17.7777777777778
2,expect,144,31060.7674820473,215.699774180884,45,3,300.16672423293,16,35.5555555555556
3,expect_learn,144,29591.6148518425,205.497325360017,45,4,299.98627227699,5,11.1111111111111
4,expect_by_mod,144,30277.4283409083,210.259919034085,45,4,301.017287819513,8,17.7777777777778
5,expect_learn_by_mode,144,28154.4907854058,195.517297120873,45,6,301.745984773751,8,17.7777777777778
