participants,model1_s_p,model1_s_v,model1_r,model1_ss,model2_s_p,model2_s_v,model2_w,model2_r,model2_ss,model3_s_p,model3_s_v,model3_w0,model3_a,model3_r,model3_ss,model2mod_s_p,model2mod_s_v,model2mod_w_pain,model2mod_w_vision,model2mod_r,model2mod_ss,model3mod_s_p,model3mod_s_v,model3mod_w0_p,model3mod_w0_v,model3mod_a_p,model3mod_a_v,model3mod_r,model3mod_ss,model_2_vs_1_F,model_2_vs_1_P,model_3_vs_2_F,model_3_vs_2_P,model_2mod_vs_2_F,model_2mod_vs_2_P,model_3mod_vs_3_F,model_3mod_vs_3_P,model_3mod_vs_2mod_F,model_3mod_vs_2mod_P,best_model,best_model_label
sub-17,0.80271,1.02226,0.3446425599355,37817.7709271848,0.65601,0.99054,0.58472,0.81476934437597,14390.3292057886,0.65229,0.99145,0.61747,-0.01102,0.815058773458623,14357.5299069115,0.65242,0.99141,0.59058,0.57796,0.814908287138461,14387.6185372065,0.64395,0.99319,0.65632,0.61721,-0.02807,-0.05867,0.815977004435101,14292.345419207,229.547860613787,0,0.319825337127176,0.572617866022281,0.0263764013836862,0.871218642227874,0.314695000693672,0.730533970926523,0.459955658021781,0.632275919102024,model2,expect
sub-18,1.18349,1.11213,-0.0427392834760753,56074.207171762,1.57927,1.31775,0.53815,0.519356000184325,38843.6303858217,1.58277,1.31698,0.55543,0.00157,0.519957075297955,38824.0176624398,2.11167,1.2038,0.73209,0.34189,0.558188120362818,36578.9716335192,2.08046,1.19672,0.78181,0.09702,0.0086,-0.06796,0.578821717099941,35307.2183344616,62.5459387468677,6.84563516983872e-13,0.0707237797321374,0.790677097604378,8.66760904321944,0.00379361983827631,6.87279160119079,0.00142773920116235,2.48535517025782,0.0870179385133069,model2mod,expect by mod
sub-20,1.25479,1.78575,0.571881604178106,17642.3972401824,1.27944,1.81785,0.04436,0.566908969587523,17515.8409651055,1.25479,1.84315,0.72799,0.33005,0.67017311410424,14163.5893742908,1.25479,1.86731,0,0.10549,0.566248194514952,17255.804367162,1.26718,1.85453,0.05324,0.67353,0.00272,0.2422,0.6763286316358,13968.6050304495,1.01875980841512,0.314542324254317,33.1353310458113,5.2122063110005e-08,2.10973206101998,0.148602506858164,0.963154137132297,0.384237730270553,16.2376095350059,4.64547593059805e-07,model1,no expect
sub-21,0.8998,1.04695,0.472706754174492,48045.4189825318,0.85901,1.09002,0.32793,0.600255823834763,40537.9410762472,0.80916,1.14073,0.29957,0.25134,0.630913106116,37374.2071014278,0.86317,1.09654,0.30469,0.35973,0.598782961204867,40486.3412107867,0.82505,1.12653,0.54908,0.40463,-0.20855,0.09228,0.635507534200062,37182.4559361538,26.1126825063741,1.02878822616503e-06,11.8510275086958,0.000760281357594539,0.178430081563704,0.673373914092362,0.355835301105988,0.701228896877718,6.13106579998684,0.00281214901059257,model3,expect learn
sub-22,1.58156,1.21307,0.157153426732965,98783.7812715793,1.91208,1.24632,0.34995,0.169685833169542,89940.030618163,1.93129,1.24326,0.31452,-0.00438,0.175165420144048,89865.063183917,2.53034,1.21307,0.60713,0,0.198989712146632,82934.4856567432,2.82548,1.21902,0.52384,0.22002,-0.01474,-0.9407,0.234414211212538,81130.9966188244,13.864447605379,0.000283256594179826,0.116791113504819,0.733053622324577,11.8259164065729,0.000769786604112754,7.42811771218355,0.000863214957909864,1.53382491036139,0.219363424384937,model2mod,expect by mod
sub-23,1.8388,2.52886,0.576567205550018,30257.5113746954,2.00827,2.50572,0.32882,0.622736952351696,20043.8902591732,2.03398,2.49749,0.27388,-0.03714,0.634614498815744,19680.8120720436,2.03748,2.50938,0.36481,0.29198,0.625195430779873,19918.6387186868,2.06795,2.49443,0.21098,0.20399,-0.04703,0.06234,0.643653899429637,19284.3608945014,71.8483567145635,2.79776202205539e-14,2.58276670759698,0.110285736217957,0.880342071350949,0.349723881714101,1.41851375837966,0.245580731003679,2.26946436587733,0.107212671665655,model2,expect
sub-25,1.54406,1.00612,0.544017186599446,29915.1403194613,1.56859,1.01453,0.05604,0.555305192784212,29788.6840488927,1.55031,1.01488,0.31428,-0.91018,0.577835307743559,29025.9625881844,1.54406,1.0341,0,0.16495,0.558520854113986,29399.9627876568,1.54406,1.04389,1e-05,0.44199,-0.44938,0.14034,0.568151222708987,28487.718222486,0.598560652122445,0.440422925309394,3.67881010577165,0.0571442045231916,1.85105596786245,0.175847047558133,1.30367974518499,0.274853539918399,2.20954428519672,0.113619013850636,model1,no expect
sub-26,2.24723,1.45045,0.446597144439433,48088.969316207,2.72799,1.78103,0.47757,0.555011372100935,28470.1477995356,2.7642,1.78343,0.38033,-0.01007,0.567164716212017,27910.3347340434,2.8766,1.67716,0.54477,0.38534,0.55511532826822,27936.9872405548,2.91298,1.6775,0.40801,0.38265,-0.03148,-0.00057,0.571329370879898,27233.7552853808,97.1633113157143,0,2.80805765734209,0.0960238452436959,2.67181559752987,0.104386063456338,1.71419554404142,0.183921079185059,1.78172288024679,0.172198485109694,model2,expect
sub-27,1.33837,1.09969,0.54441681875545,19816.2575737306,1.38134,1.09544,0.11819,0.572128354125865,18977.5330043721,1.38148,1.09897,0.16832,0.01952,0.577597752464383,18812.9852541031,1.37255,1.09446,0.09635,0.14152,0.572845906610625,18946.9405510756,1.37454,1.09128,0.1479,0.08615,0.01185,0.05171,0.57434888289755,18884.183533352,6.23158785982911,0.0137007151444368,1.22450981205311,0.270375198215345,0.226049342898897,0.635209755237754,-0.26014793064775,1,0.229304815602867,0.795388473232024,model2,expect
sub-28,0.98166,1.18069,0.55478161632554,16302.9308149671,1.02501,1.21569,0.16021,0.609582348464876,14665.0778313971,1.02391,1.2151,0.20448,0.0055,0.611424039585553,14612.3871883778,1.06948,1.1852,0.27876,0.024,0.646155545426606,13634.6425363795,1.07166,1.18302,0.23682,0.29341,-0.00847,0.177,0.653670634396596,13401.5344409297,15.7474289150344,0.000114806986949878,0.504824429273453,0.478569869871885,10.5804710990808,0.00143241556940676,6.2342741379487,0.00255800582432786,1.20019529531699,0.304258807089466,model2mod,expect by mod
