"","modality","type","period","brain_measure","stim_int_estimate","stim_int_SE","stim_int_DF","stim_int_t","stim_int_p","cue_mean_estimate","cue_mean_SE","cue_mean_DF","cue_mean_t","cue_mean_p","cue_var_estimate","cue_var_SE","cue_var_DF","cue_var_t","cue_var_p","cue_sk_neg_sym_estimate","cue_sk_neg_sym_SE","cue_sk_neg_sym_DF","cue_sk_neg_sym_t","cue_sk_neg_sym_p","cue_sk_pos_sym_estimate","cue_sk_pos_sym_SE","cue_sk_pos_sym_DF","cue_sk_pos_sym_t","cue_sk_pos_sym_p","cue_mean_X_var_estimate","cue_mean_X_var_SE","cue_mean_X_var_DF","cue_mean_X_var_t","cue_mean_X_var_p","stim_int_X_cue_mean_estimate","stim_int_X_cue_mean_SE","stim_int_X_cue_mean_DF","stim_int_X_cue_mean_t","stim_int_X_cue_mean_p"
"66632","vision","pain","stim","s1_handplus_L",0.011,0.03,2956.49,0.37,0.713,-0.018,0.03,2955.86,-0.61,0.543,-0.006,0.03,2956.66,-0.21,0.837,-0.058,0.043,2956.34,-1.35,0.176,-0.023,0.043,2956.27,-0.55,0.583,-0.016,0.03,2955.79,-0.54,0.586,-0.003,0.03,2955.88,-0.1,0.924
"72685","pain","pain","stim","s1_handplus_R",0.117,0.026,2948.23,4.49,0,-0.007,0.026,2948.43,-0.27,0.788,-0.009,0.026,2948.75,-0.33,0.738,0.015,0.037,2948.44,0.4,0.689,0.036,0.037,2948.59,0.99,0.324,0.018,0.026,2948.39,0.67,0.5,-0.01,0.026,2948.5,-0.37,0.709
"72689","vision","pain","stim","s1_handplus_R",-0.021,0.031,2946.47,-0.69,0.489,-0.041,0.031,2945.75,-1.33,0.182,0.012,0.031,2946.89,0.39,0.699,-0.103,0.044,2946.34,-2.36,0.018,-0.033,0.044,2946.38,-0.77,0.444,-0.008,0.031,2945.52,-0.26,0.793,0.013,0.031,2945.88,0.41,0.684
"78742","pain","higher_level","stim","Ctx_IPS1_L",0.054,0.029,2948.64,1.87,0.061,-0.055,0.029,2949.03,-1.91,0.056,-0.027,0.029,2949.87,-0.91,0.362,0.046,0.041,2949.11,1.12,0.264,0.036,0.041,2949.46,0.88,0.381,-0.003,0.029,2948.94,-0.11,0.914,-0.03,0.029,2949.19,-1.04,0.3
"78746","vision","higher_level","stim","Ctx_IPS1_L",0.012,0.029,2958.68,0.4,0.691,-0.054,0.029,2958.19,-1.84,0.066,-0.021,0.029,2958.83,-0.71,0.479,-0.03,0.041,2958.55,-0.73,0.468,-0.004,0.041,2958.52,-0.11,0.915,0.029,0.029,2958.11,0.99,0.325,-0.013,0.029,2958.13,-0.43,0.664
"84799","pain","higher_level","stim","Ctx_11l_L",-0.025,0.03,2904.47,-0.85,0.394,-0.031,0.031,292.8,-1.02,0.308,-0.038,0.03,2904.63,-1.29,0.198,0.019,0.042,2903.94,0.46,0.647,0.002,0.042,2904.88,0.04,0.97,0.023,0.03,2911.58,0.79,0.432,0.028,0.03,2903.44,0.95,0.342
"84803","vision","higher_level","stim","Ctx_11l_L",-0.026,0.031,2957.96,-0.85,0.396,-0.027,0.031,2957.28,-0.88,0.378,-0.017,0.031,2958.43,-0.56,0.575,-0.011,0.044,2957.94,-0.25,0.801,-0.028,0.044,2958,-0.64,0.522,0.015,0.031,2956.96,0.5,0.62,0.002,0.031,2957.49,0.05,0.961
"90856","pain","higher_level","stim","Ctx_IPS1_R",0.021,0.03,2906.99,0.69,0.488,-0.061,0.03,304.97,-1.99,0.047,-0.012,0.03,2907.28,-0.41,0.682,0.012,0.042,2906.48,0.29,0.772,0.031,0.042,2907.39,0.74,0.459,-0.009,0.03,2914.69,-0.31,0.754,0.007,0.03,2906,0.22,0.825
"90860","vision","higher_level","stim","Ctx_IPS1_R",0.004,0.029,2956.73,0.14,0.891,-0.052,0.029,2956.23,-1.79,0.074,-0.036,0.029,2956.83,-1.24,0.216,-0.013,0.042,2956.62,-0.31,0.753,0,0.041,2956.48,-0.01,0.991,0.054,0.029,2956.15,1.86,0.064,-0.015,0.029,2956.25,-0.52,0.605
"96913","pain","higher_level","stim","Ctx_p9_46v_R",0.021,0.03,2948.37,0.72,0.473,-0.026,0.03,2948.82,-0.87,0.386,-0.04,0.03,2949.91,-1.34,0.181,0.014,0.042,2948.95,0.34,0.737,-0.007,0.042,2949.38,-0.17,0.868,-0.005,0.03,2948.72,-0.18,0.854,0.024,0.03,2949.02,0.81,0.417
